series,min,max
Study 1.a,-91,105
Study 1.b,-91,98
Study 1.c,-91,105
Study 10.a,-168,623
Study 10.b,-168,560
Study 10.c,-168,581
Study 10.d,-168,567
Study 10.e,-168,567
Study 10.f,-168,623
Study 2.a,9,578
Study 2.b,51,394
Study 3.a,-714,532
Study 3.b,-714,532
Study 3.c,-714,532
Study 3.d,-714,532
Study 3.e,-714,532
Study 3.f,-714,532
Study 3.g,-714,532
Study 3.h,-714,532
Study 3.i,-955,291
Study 3.j,-955,291
Study 3.k,-955,291
Study 3.l,-955,291
Study 4.a,-126,358
Study 4.b,-126,358
Study 4.c,-126,358
Study 4.d,-112,358
Study 4.e,-126,358
Study 4.f,-126,358
Study 4.g,-126,358
Study 4.h,-126,358
Study 5.a,-489,966
Study 5.b,-489,966
Study 5.c,-489,966
Study 5.d,-167,1288
Study 5.e,-167,1288
Study 5.f,-167,1288
Study 5.g,-167,392
Study 5.h,-167,392
Study 5.i,-167,392
Study 6.a,2,675
Study 6.b,2,675
Study 6.c,2,675
Study 6.d,2,675
Study 7.a,-228,247
Study 7.b,-221,247
Study 7.c,-228,247
Study 7.d,-139,171
Study 7.e,-115,171
Study 7.f,-115,171
