model,study,series,date_numeric,cens_val,cens_stable,.epred_retrans
nonseasonal,Study 1,Study 1.a,NA,none,NA,30.670704746110037
nonseasonal,Study 1,Study 1.b,98,none,right,15.951257775708362
nonseasonal,Study 1,Study 1.c,NA,none,NA,15.78139383071614
nonseasonal,Study 10,Study 10.a,407.9624238476953,none,none,2.619695074453275
nonseasonal,Study 10,Study 10.b,NA,none,NA,1.4294407723585352
nonseasonal,Study 10,Study 10.c,581,none,right,0.6465137293320172
nonseasonal,Study 10,Study 10.d,322.5796583166333,none,none,0.9339047069560328
nonseasonal,Study 10,Study 10.e,567,none,right,2.2136748908174173
nonseasonal,Study 10,Study 10.f,471.2089168336674,none,none,2.000599235832631
nonseasonal,Study 2,Study 2.a,499.6698386773545,none,none,3.4632908911975835
nonseasonal,Study 2,Study 2.b,394,none,right,1.479744556337203
nonseasonal,Study 3,Study 3.a,532,none,right,8.91156129325307
nonseasonal,Study 3,Study 3.b,532,none,right,2.086703457845456
nonseasonal,Study 3,Study 3.c,532,none,right,6.575959264341445
nonseasonal,Study 3,Study 3.d,442.74799498997993,none,none,22.98901656412808
nonseasonal,Study 3,Study 3.e,532,none,right,1.0834391298000985
nonseasonal,Study 3,Study 3.f,532,none,right,10.153350559748088
nonseasonal,Study 3,Study 3.g,398.4754498997994,none,none,10.520564824333508
nonseasonal,Study 3,Study 3.h,496.5075140280561,none,none,20.387520895238744
nonseasonal,Study 3,Study 3.i,291,none,right,3.5954898147327277
nonseasonal,Study 3,Study 3.j,136.002504008016,none,none,3.723688079921651
nonseasonal,Study 3,Study 3.k,291,none,right,10.80212912174284
nonseasonal,Study 3,Study 3.l,291,none,right,2.1779911234090843
nonseasonal,Study 4,Study 4.a,NA,none,NA,121.10761728615256
nonseasonal,Study 4,Study 4.b,344.71593086172345,none,none,28.201305766164857
nonseasonal,Study 4,Study 4.c,358,none,right,24.554724874993212
nonseasonal,Study 4,Study 4.d,328.9043076152303,none,none,5.679516834967352
nonseasonal,Study 4,Study 4.e,240.35921743486972,none,none,44.23575296231165
nonseasonal,Study 4,Study 4.f,NA,none,NA,38.182132430858594
nonseasonal,Study 4,Study 4.g,300.4433857715429,none,none,45.3908719484091
nonseasonal,Study 4,Study 4.h,275.14478857715415,none,none,33.93842099649542
nonseasonal,Study 7,Study 7.a,247,none,right,1.3099882720472844
nonseasonal,Study 7,Study 7.b,NA,none,NA,61.51780593636009
nonseasonal,Study 7,Study 7.c,120.1908807615231,none,none,19.304834703938575
nonseasonal,Study 7,Study 7.d,145.48947795591164,left,none,0.4671659018307745
nonseasonal,Study 7,Study 7.e,82.24298496993983,none,none,5.084428144659878
nonseasonal,Study 7,Study 7.f,91.7299589178357,none,none,10.752942528473552
seasonal,Study 5,Study 5.a,846.4213416833667,none,none,1.4671047039938414
seasonal,Study 5,Study 5.b,625.63176252505,none,none,13.465578736276612
seasonal,Study 5,Study 5.c,966,none,right,30.53810035565344
seasonal,Study 5,Study 5.d,1117.0666322645293,left,none,0.619954551361183
seasonal,Study 5,Study 5.e,1288,none,right,10.216078526212584
seasonal,Study 5,Study 5.f,953.255009018036,none,none,15.051315144206407
seasonal,Study 5,Study 5.g,305.13076052104213,none,none,1.208664119647332
seasonal,Study 5,Study 5.h,280.2029048096192,none,none,13.892434534790269
seasonal,Study 5,Study 5.i,347.86422745490984,none,none,7.661124205470555
seasonal,Study 6,Study 6.a,675,none,right,8.209554086385017
seasonal,Study 6,Study 6.b,646.998495991984,none,none,7.083015751150948
seasonal,Study 6,Study 6.c,611.3872735470942,none,none,4.1056770201906865
seasonal,Study 6,Study 6.d,636.315129258517,none,none,4.415880074081827
