time,surv
82.24298496993983,0.9772727272727273
94.8922835671341,0.9545454545454545
123.3532054108215,0.9312638580931263
139.16482865731462,0.9079822616407981
142.32715330661324,0.8847006651884699
240.35921743486972,0.8614190687361418
276.64178256513026,0.837490761271249
278.30711322645277,0.8135624538063562
303.60571042084155,0.7873185036835705
305.13076052104213,0.7610745535607848
322.5796583166333,0.7348306034379991
332.06663226452895,0.7085866533152134
347.86422745490984,0.6823427031924277
351.0405801603205,0.656098753069642
392.1508006012024,0.6287613050250737
411.1247484969939,0.6001812457057522
445.91031963927855,0.5716011863864305
464.8842675350701,0.543021127067109
493.3451893787575,0.5144410677477875
499.6698386773545,0.48586100842846597
505.99448797595176,0.4572809491091444
614.9483957915833,0.41155285419822996
629.1928847695391,0.3658247592873155
636.315129258517,0.32009666437640105
646.998495991984,0.2743685694654866
846.4213416833667,0.2194948555723893
949.6938867735472,0.16462114167929198
1117.0666322645293,0.08231057083964599
