series,data,cens,study
Study 10.a,411.1247484969939,none,Study 10
Study 10.d,322.5796583166333,none,Study 10
Study 10.f,464.8842675350701,none,Study 10
Study 2.a,499.6698386773545,none,Study 2
Study 3.c,505.99448797595176,none,Study 3
Study 3.d,445.91031963927855,none,Study 3
Study 3.g,392.1508006012024,none,Study 3
Study 3.h,493.3451893787575,none,Study 3
Study 3.j,142.32715330661324,none,Study 3
Study 4.b,351.0405801603205,none,Study 4
Study 4.d,332.06663226452895,none,Study 4
Study 4.e,240.35921743486972,none,Study 4
Study 4.g,303.60571042084155,none,Study 4
Study 4.h,278.30711322645277,none,Study 4
Study 5.a,846.4213416833667,none,Study 5
Study 5.b,629.1928847695391,none,Study 5
Study 5.d,1117.0666322645293,none,Study 5
Study 5.f,949.6938867735472,none,Study 5
Study 5.g,305.13076052104213,none,Study 5
Study 5.h,276.64178256513026,none,Study 5
Study 5.i,347.86422745490984,none,Study 5
Study 6.b,646.998495991984,none,Study 6
Study 6.c,614.9483957915833,none,Study 6
Study 6.d,636.315129258517,none,Study 6
Study 7.c,123.3532054108215,none,Study 7
Study 7.d,139.16482865731462,none,Study 7
Study 7.e,82.24298496993983,none,Study 7
Study 7.f,94.8922835671341,none,Study 7
Study 1.b,98,right,Study 1
Study 10.c,581,right,Study 10
Study 10.e,567,right,Study 10
Study 2.b,394,right,Study 2
Study 3.a,532,right,Study 3
Study 3.b,532,right,Study 3
Study 3.e,532,right,Study 3
Study 3.f,532,right,Study 3
Study 3.i,291,right,Study 3
Study 3.k,291,right,Study 3
Study 3.l,291,right,Study 3
Study 4.c,358,right,Study 4
Study 7.a,247,right,Study 7
Study 5.c,966,right,Study 5
Study 5.e,1288,right,Study 5
Study 6.a,675,right,Study 6
Study 1.a,NA,NA,Study 1
Study 1.c,NA,NA,Study 1
Study 10.b,NA,NA,Study 10
Study 4.a,NA,NA,Study 4
Study 4.f,NA,NA,Study 4
Study 7.b,NA,NA,Study 7
